ATTRACTIONID,FOODID,DISTANCE
7,52,10.339
7,53,5.163
7,54,7.279
7,55,6.962
7,56,24.139
7,57,5.381
7,58,5.328
7,59,24.651
7,60,20.229
7,61,22.662
7,62,18.036
7,63,22.35
7,64,5.138
7,65,5.099
7,66,14.706
7,67,21.556
7,68,18.144
7,69,25.358
7,70,25.791
7,71,24.633
7,72,25.384
7,73,9.762
7,74,27.761
7,75,25.13
8,51,13.694
8,52,16.51
8,53,11.214
8,54,2.445
8,55,13.749
8,56,12.86
8,57,6.949
8,58,11.379
8,59,13.372
8,60,13.111
8,61,16.019
8,62,10.205
8,63,31.215
8,64,12.424
8,65,12.385
8,66,20.667
8,67,13.725
8,68,10.312
8,69,18.715
8,70,14.512
8,71,17.99
8,72,17.553
8,73,1.926
8,74,16.482
8,75,18.487
5,76,13.58
5,77,9.903
5,78,15.49
5,79,10.848
5,80,11.701
5,81,13.121
5,82,5.118
5,83,5.625
5,84,12.121
5,85,5.604
5,86,11.72
5,87,16.847
5,88,4.636
5,89,11.218
5,90,8.088
5,91,13.281
5,92,13.388
5,93,15.947
5,94,8.857
5,95,25.963
5,96,29.45
5,97,19.14
5,98,2.778
5,99,11.444
5,100,7.149
6,76,3.33
6,77,14.262
6,78,12.775
6,79,17.4
6,80,8.264
6,81,7.336
6,82,11.669
6,83,12.202
6,84,6.336
6,85,12.181
6,86,8.04
6,87,11.061
6,88,11.188
6,89,5.433
6,90,3.593
6,91,7.496
6,92,5.322
6,93,13.231
6,94,15.818
6,95,20.178
6,96,26.635
6,97,25.489
6,98,5.406
6,99,5.658
6,100,3.485
7,76,22.404
7,77,9.562
7,78,27.384
7,79,3.457
7,80,22.873
7,81,21.945
7,82,8.289
7,83,5.065
7,84,20.945
7,85,5.044
7,86,20.544
7,87,25.67
7,88,7.808
7,89,20.042
7,90,18.756
7,91,22.105
7,92,22.212
7,93,27.84
7,94,8.516
7,95,34.787
7,96,23.449
7,97,13.138
7,98,11.266
7,99,20.267
7,100,17.817
8,76,11.386
8,77,9.863
8,78,16.104
8,79,10.809
8,80,12.315
8,81,12.816
8,82,3.811
8,83,4.42
8,84,14.302
8,85,4.357
8,86,12.713
8,87,19.027
8,88,3.329
8,89,13.399
8,90,8.703
8,91,12.249
8,92,14.775
8,93,16.561
8,94,8.817
8,95,28.144
8,96,29.565
8,97,19.1
8,98,2.4
8,99,13.624
8,100,7.763
5,101,1.842
5,102,23.815
5,103,2.217
5,104,15.748
5,105,8.331
5,106,1.573
5,107,7.588
5,108,3.488
5,109,3.833
5,110,5.703
5,111,14.626
5,112,8.187
5,113,12.476
5,114,6.361
5,115,11.624
5,116,27.866
5,117,11.706
5,118,15.546
5,119,4.546
5,120,4.478
5,121,4.531
5,122,5.992
5,123,0.985
5,124,7.254
5,125,4.366
6,101,5.518
6,102,21.099
6,103,3.155
6,104,9.963
6,105,2.528
6,106,5.448
6,107,2.117
6,108,2.003
6,109,2.143
6,110,6.186
6,111,21.315
6,112,1.357
6,113,6.691
6,114,3.437
6,115,7.945
6,116,25.151
6,117,8.026
6,118,9.761
6,119,4.111
6,120,4.813
6,121,4.866
6,122,12.569
6,123,5.64
6,124,16.526
6,125,3.932
7,101,10.811
7,102,28.893
7,103,11.185
7,104,24.572
7,105,18.999
7,106,10.542
7,107,16.411
7,108,12.317
7,109,16.437
7,110,10.372
7,111,8.416
7,112,17.011
7,113,21.3
7,114,15.185
7,115,20.448
7,116,23.393
7,117,20.53
7,118,24.37
7,119,15.213
7,120,12.879
7,121,12.932
7,122,10.305
7,123,9.813
7,124,6.182
7,125,15.034
8,101,1.475
8,102,24.429
8,103,1.849
8,104,14.64
8,105,8.945
8,106,1.206
8,107,4.127
8,108,3.117
8,109,3.465
8,110,5.325
8,111,14.586
8,112,8.969
8,113,14.657
8,114,4.286
8,115,12.617
8,116,28.481
8,117,12.698
8,118,12.338
8,119,5.16
8,120,4.1
8,121,4.153
8,122,5.885
8,123,1.977
8,124,4.154
8,125,4.98
5,126,20.237
5,127,21.353
5,128,8.131
5,129,14.21
5,130,22.479
5,131,21.795
5,132,13.578
5,133,9.571
5,134,22.089
5,135,21.368
5,136,21.37
5,137,20.639
5,138,18.705
5,139,26.671
5,140,7.362
5,141,17.521
5,142,20.61
5,143,8.561
5,144,13.941
5,145,18.689
5,146,27.92
5,147,27.015
5,148,14.192
5,149,14.885
5,150,23.801
6,126,16.557
6,127,15.567
6,128,16.295
6,129,8.424
6,130,19.664
6,131,26.576
6,132,7.793
6,133,4.035
6,134,16.304
6,135,15.582
6,136,27.077
6,137,14.854
6,138,12.92
6,139,23.955
6,140,4.157
6,141,27.022
6,142,14.825
6,143,15.522
6,144,11.228
6,145,23.469
6,146,25.205
6,147,24.021
6,148,11.477
6,149,12.17
6,150,30.304
7,126,29.06
7,127,30.176
7,128,7.059
7,129,23.033
7,130,16.478
7,131,15.794
7,132,18.91
7,133,18.395
7,134,30.913
7,135,30.191
7,136,15.368
7,137,29.463
7,138,27.529
7,139,27.927
7,140,18.03
7,141,11.52
7,142,29.434
7,143,8.22
7,144,16.659
7,145,12.687
7,146,26.127
7,147,21.014
7,148,26.086
7,149,26.779
7,150,17.8
8,126,21.229
8,127,22.786
8,128,4.649
8,129,16.39
8,130,22.44
8,131,21.755
8,132,13.06
8,133,10.563
8,134,24.27
8,135,22.36
8,136,21.33
8,137,23.762
8,138,19.698
8,139,27.285
8,140,7.977
8,141,17.481
8,142,22.791
8,143,8.521
8,144,14.556
8,145,18.649
8,146,28.534
8,147,26.975
8,148,14.806
8,149,15.5
8,150,23.762
5,151,13.59
5,152,10.231
5,153,28.119
5,154,3.782
5,155,9.954
5,156,20.171
5,157,27.866
5,158,20.237
5,159,23.256
5,160,3.624
5,161,3.624
5,162,18.136
5,163,22.298
5,164,19.578
5,165,23.294
5,166,11.6
5,167,18.484
5,168,21.796
5,169,5.248
5,170,15.925
5,171,23.256
5,172,17.195
5,173,14.492
5,174,22.715
5,175,19.49
6,151,17.478
6,152,16.783
6,153,25.404
6,154,2.075
6,155,16.506
6,156,14.385
6,157,25.151
6,158,16.557
6,159,20.441
6,160,10.201
6,161,10.201
6,162,19.278
6,163,19.483
6,164,26.691
6,165,20.579
6,166,5.814
6,167,12.699
6,168,16.01
6,169,7.703
6,170,10.845
6,171,20.441
6,172,14.479
6,173,21.114
6,174,20.0
6,175,13.705
7,151,7.499
7,152,3.928
7,153,23.54
7,154,12.751
7,155,5.653
7,156,28.994
7,157,23.393
7,158,29.06
7,159,14.089
7,160,6.616
7,161,6.616
7,162,33.887
7,163,16.297
7,164,13.577
7,165,29.199
7,166,20.423
7,167,27.308
7,168,30.619
7,169,8.744
7,170,24.749
7,171,14.089
7,172,29.088
7,173,8.282
7,174,34.609
7,175,28.314
8,151,13.55
8,152,10.191
8,153,28.733
8,154,3.414
8,155,9.914
8,156,22.351
8,157,28.481
8,158,21.229
8,159,23.216
8,160,3.517
8,161,3.517
8,162,18.75
8,163,22.259
